,Boat,Trip Details,Dock Totals,Date
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",18 Anglers1/2 Day AM,"5 Sand Bass, 45 Sculpin, 4 Triggerfish, 3 Calico Bass",2020-01-03
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",7 Anglers1/2 Day AM,"2 Barred Sand Bass, 20 Blacksmith, 1 Calico Bass",2020-01-03
0,"Sea Watch  Seaforth Sportfishing  San Diego, CA",39 Anglers1/2 Day AM,12 Calico Bass Released,2020-01-03
0,"Dolphin  Fisherman's Landing  San Diego, CA",18 Anglers1/2 Day AM,"32 Sand Bass, 130 Blacksmith Perch, 13 Sculpin, 6 Calico Bass",2020-01-04
1,"Dolphin  Fisherman's Landing  San Diego, CA",15 Anglers1/2 Day PM,"21 Sand Bass, 21 Blacksmith Perch, 4 Sculpin, 5 Calico Bass",2020-01-04
0,"Easter B  H&M Landing  San Diego, CA",4 Anglers1/2 Day AMMexican Waters,40 Rockfish,2020-01-04
1,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day TwilightLocal,"14 Lobster, 67 Lobster Released",2020-01-04
2,"Premier  H&M Landing  San Diego, CA",28 Anglers1/2 Day AMLocal,"8 Sand Bass, 11 Sculpin, 87 Perch, 3 Calico Bass",2020-01-04
3,"Premier  H&M Landing  San Diego, CA",29 Anglers1/2 Day PM,"14 Sand Bass, 27 Sculpin, 78 Perch",2020-01-04
0,"Electra  Helgrens Sportfishing  Oceanside, CA",27 Anglers1/2 Day AM,"1 Blacksmith, 1 Halibut (up to 30 pounds), 5 Sculpin, 1 Calico Bass, 10 Sanddab, 3 Sand Bass Released, 10 Sheephead Released, 22 Calico Bass Released",2020-01-04
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",39 Anglers1/2 Day AM,"10 Sand Bass, 35 Sculpin, 12 Triggerfish, 12 Sand Bass Released, 11 Sheephead Released, 10 Calico Bass Released, 7 Rockfish Released",2020-01-04
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",20 Anglers3/4 Day,"1 Lingcod, 199 Rockfish",2020-01-04
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",13 Anglers1/2 Day PM,"2 Sand Bass, 4 Sculpin, 14 Calico Bass, 21 Calico Bass Released",2020-01-04
0,"Dolphin  Fisherman's Landing  San Diego, CA",19 Anglers1/2 Day AM,"19 Sand Bass, 66 Blacksmith Perch, 15 Sculpin, 3 Calico Bass",2020-01-05
1,"Dolphin  Fisherman's Landing  San Diego, CA",41 Anglers1/2 Day PM,"51 Sand Bass, 125 Blacksmith Perch, 74 Sculpin, 16 Calico Bass",2020-01-05
2,"Pacific Queen  Fisherman's Landing  San Diego, CA",34 Anglers1.5 Day,"21 Yellowtail, 9 Lingcod, 135 Rockfish, 140 Vermilion Rockfish",2020-01-05
3,"Tomahawk  Fisherman's Landing  San Diego, CA",0 Anglers1.5 Day,"11 Lingcod, 1 Bonito, 150 Rockfish",2020-01-05
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"11 Lobster, 62 Lobster Released",2020-01-05
1,"Jig Strike  H&M Landing  San Diego, CA",8 Anglers1/2 Day TwilightLocal,"8 Lobster, 42 Lobster Released",2020-01-05
2,"Old Glory  H&M Landing  San Diego, CA",13 Anglers1.5 DayMexican Waters,"14 Yellowtail, 17 Lingcod, 99 Rockfish",2020-01-05
3,"Premier  H&M Landing  San Diego, CA",27 Anglers1/2 Day AMLocal,"14 Sand Bass, 20 Sculpin, 127 Perch",2020-01-05
4,"Premier  H&M Landing  San Diego, CA",20 Anglers1/2 Day PM,"9 Sand Bass, 22 Sculpin, 2 Triggerfish, 171 Perch, 4 Calico Bass",2020-01-05
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",40 Anglers1/2 Day AM,"17 Sand Bass, 25 Sculpin, 14 Triggerfish, 1 Calico Bass, 8 Sand Bass Released, 6 Sheephead Released, 15 Calico Bass Released, 10 Rockfish Released",2020-01-05
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",19 Anglers1/2 Day AM,"5 Barred Sand Bass, 75 Blacksmith, 1 Calico Bass",2020-01-05
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",20 Anglers3/4 Day,"1 Lingcod, 4 Whitefish, 145 Rockfish, 50 Vermilion Rockfish",2020-01-05
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",14 Anglers1/2 Day AM,"4 Sand Bass, 6 Sculpin, 19 Calico Bass, 5 Calico Bass Released",2020-01-05
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",16 Anglers1/2 Day PM,"3 Sand Bass, 2 Sculpin, 4 Calico Bass, 12 Calico Bass Released",2020-01-05
0,"Dolphin  Fisherman's Landing  San Diego, CA",11 Anglers1/2 Day AM,"14 Sand Bass, 12 Blacksmith Perch, 10 Sculpin, 3 Calico Bass",2020-01-06
1,"Dolphin  Fisherman's Landing  San Diego, CA",24 Anglers1/2 Day PM,"27 Sand Bass, 47 Blacksmith Perch, 32 Sculpin",2020-01-06
0,"Jig Strike  H&M Landing  San Diego, CA",8 Anglers1/2 Day TwilightLocal,"14 Lobster, 2 Rock Crab, 61 Lobster Released",2020-01-06
1,"Premier  H&M Landing  San Diego, CA",22 Anglers1/2 Day AMMexican Waters,"1 Lingcod, 219 Rockfish",2020-01-06
0,"Sea Watch  Seaforth Sportfishing  San Diego, CA",17 Anglers1/2 Day AM,"4 Sand Bass, 11 Calico Bass, 31 Calico Bass Released",2020-01-06
0,"Dolphin  Fisherman's Landing  San Diego, CA",11 Anglers1/2 Day AM,"6 Sand Bass, 30 Blacksmith Perch, 2 Halibut, 10 Sculpin",2020-01-07
1,"Dolphin  Fisherman's Landing  San Diego, CA",14 Anglers1/2 Day PM,"5 Sand Bass, 140 Blacksmith Perch, 7 Sculpin",2020-01-07
0,"Easter B  H&M Landing  San Diego, CA",4 Anglers1/2 Day AMMexican Waters,"2 Sculpin, 1 Lingcod, 28 Rockfish",2020-01-07
1,"Premier  H&M Landing  San Diego, CA",17 Anglers1/2 Day AMMexican Waters,170 Rockfish,2020-01-07
0,"Josie Lynn  Point Loma Sportfishing  San Diego, CA",6 Anglers1/2 Day PM,"1 Lingcod, 2 Whitefish, 30 Rockfish, 25 Red Rockfish",2020-01-07
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",15 Anglers3/4 Day,"1 Lingcod, 114 Rockfish, 35 Vermilion Rockfish",2020-01-07
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"14 Sand Bass, 11 Calico Bass, 27 Calico Bass Released",2020-01-07
0,"Dolphin  Fisherman's Landing  San Diego, CA",30 Anglers1/2 Day AM,"11 Sand Bass, 4 Halibut, 28 Sculpin",2020-01-08
0,"Jig Strike  H&M Landing  San Diego, CA",2 Anglers1/2 Day Twilight,"7 Lobster, 21 Lobster Released",2020-01-08
1,"Premier  H&M Landing  San Diego, CA",12 Anglers1/2 Day AM,120 Rockfish,2020-01-08
0,"Electra  Helgrens Sportfishing  Oceanside, CA",32 Anglers1/2 Day AM,"1 Sand Bass, 3 Sculpin, 1 Triggerfish, 32 Blue Perch, 1 Sheephead Released, 5 Calico Bass Released",2020-01-08
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",8 Anglers1/2 Day AM,"16 Sand Bass, 19 Sculpin, 8 Calico Bass, 10 Sand Bass Released, 17 Calico Bass Released",2020-01-08
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",17 Anglers3/4 Day,"130 Rockfish, 40 Vermilion Rockfish",2020-01-08
0,"Electra  Helgrens Sportfishing  Oceanside, CA",9 Anglers1/2 Day AM,7 Sculpin,2020-01-09
0,"Dolphin  Fisherman's Landing  San Diego, CA",11 Anglers1/2 Day AM,"6 Sand Bass, 27 Blacksmith Perch, 3 Sculpin",2020-01-10
1,"Dolphin  Fisherman's Landing  San Diego, CA",20 Anglers1/2 Day PM,"11 Sand Bass, 99 Blacksmith Perch, 7 Sculpin",2020-01-10
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"11 Lobster, 78 Lobster Released",2020-01-10
1,"Premier  H&M Landing  San Diego, CA",8 Anglers1/2 Day AM,"38 Sand Bass, 7 Sculpin, 22 Perch",2020-01-10
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",21 Anglers1/2 Day AM,"15 Sand Bass, 16 Sculpin, 4 Triggerfish, 1 Calico Bass, 10 Sand Bass Released, 8 Sheephead Released, 15 Calico Bass Released",2020-01-10
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",13 Anglers3/4 Day,"85 Rockfish, 45 Vermilion Rockfish",2020-01-10
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",35 Anglers1/2 Day AM,"12 Sand Bass, 11 Calico Bass, 27 Calico Bass Released",2020-01-10
0,"Dolphin  Fisherman's Landing  San Diego, CA",21 Anglers1/2 Day AM,"26 Sand Bass, 71 Blacksmith Perch, 11 Sculpin, 3 Calico Bass",2020-01-11
1,"Dolphin  Fisherman's Landing  San Diego, CA",9 Anglers1/2 Day PM,"40 Sand Bass, 25 Blacksmith Perch, 3 Sculpin, 8 Calico Bass",2020-01-11
0,"Alicia  H&M Landing  San Diego, CA",8 Anglers1/2 Day Twilight,"11 Lobster, 39 Lobster Released",2020-01-11
1,"Premier  H&M Landing  San Diego, CA",38 Anglers1/2 Day AMLocal,"3 Sand Bass, 21 Sculpin, 93 Perch, 3 Calico Bass",2020-01-11
2,"Premier  H&M Landing  San Diego, CA",29 Anglers1/2 Day PM,"2 Sand Bass, 64 Sculpin, 16 Perch, 1 Calico Bass",2020-01-11
0,"Electra  Helgrens Sportfishing  Oceanside, CA",23 Anglers1/2 Day AM,"2 Sand Bass, 5 Sculpin, 10 Blue Perch, 1 Sanddab, 1 Halibut Released, 22 Sheephead Released, 12 Calico Bass Released, 18 Whitefish Released, 6 Treefish Released",2020-01-11
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",27 Anglers1/2 Day AM,"15 Sand Bass, 10 Sculpin, 8 Triggerfish, 2 Calico Bass, 6 Rubberlip Seaperch, 16 Sand Bass Released, 12 Sheephead Released, 20 Calico Bass Released",2020-01-11
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",26 Anglers1/2 Day AM,"11 Barred Sand Bass, 3 Halibut, 12 Sculpin, 2 Calico Bass",2020-01-11
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",26 Anglers3/4 Day,"180 Rockfish, 30 Vermilion Rockfish",2020-01-11
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",8 Anglers1/2 Day AM,"6 Sand Bass, 1 Sculpin, 10 Calico Bass, 19 Calico Bass Released",2020-01-11
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",16 Anglers1/2 Day PM,"40 Sand Bass, 5 Sculpin, 26 Calico Bass",2020-01-11
0,"Dolphin  Fisherman's Landing  San Diego, CA",22 Anglers1/2 Day AM,"18 Sand Bass, 67 Blacksmith Perch, 6 Sculpin",2020-01-12
1,"Dolphin  Fisherman's Landing  San Diego, CA",23 Anglers1/2 Day PM,"51 Sand Bass, 116 Blacksmith Perch, 11 Sculpin",2020-01-12
2,"Pacific Queen  Fisherman's Landing  San Diego, CA",33 Anglers1.5 Day,"25 Yellowtail (up to 25 pounds), 7 Lingcod, 125 Rockfish, 170 Vermilion Rockfish",2020-01-12
3,"Tomahawk  Fisherman's Landing  San Diego, CA",16 Anglers1.5 Day,"3 Yellowtail, 18 Lingcod (up to 25 pounds), 14 Bonito, 120 Rockfish",2020-01-12
0,"Premier  H&M Landing  San Diego, CA",10 Anglers1/2 Day AM,"44 Sand Bass, 12 Sculpin, 25 Perch",2020-01-12
1,"Premier  H&M Landing  San Diego, CA",21 Anglers1/2 Day PM,"15 Sand Bass, 25 Sculpin, 30 Perch",2020-01-12
0,"Electra  Helgrens Sportfishing  Oceanside, CA",8 Anglers1/2 Day AM,"2 Sand Bass, 9 Sculpin, 4 Sand Bass Released, 5 Sculpin Released, 7 Sheephead Released, 6 Calico Bass Released, 7 Treefish Released",2020-01-12
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",13 Anglers1/2 Day AM,"9 Sand Bass, 16 Sculpin, 3 Triggerfish",2020-01-12
0,"Vagabond  Point Loma Sportfishing  San Diego, CA",19 Anglers1.5 Day,"6 Yellowtail, 16 Lingcod, 40 Rockfish, 95 Red Rockfish",2020-01-12
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",27 Anglers3/4 Day,"20 Whitefish, 165 Rockfish, 45 Vermilion Rockfish",2020-01-12
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",8 Anglers1/2 Day PM,"8 Sand Bass, 1 Halibut, 1 Sculpin, 6 Calico Bass, 20 Calico Bass Released",2020-01-12
0,"Jig Strike  H&M Landing  San Diego, CA",7 Anglers1/2 Day TwilightLocal,"6 Lobster, 39 Lobster Released",2020-01-13
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",6 Anglers3/4 Day,"50 Rockfish, 10 Vermilion Rockfish",2020-01-13
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",11 Anglers1/2 Day AM,"6 Sand Bass, 2 Sculpin, 9 Calico Bass",2020-01-13
0,"Dolphin  Fisherman's Landing  San Diego, CA",13 Anglers1/2 Day AM,"12 Sand Bass, 65 Blacksmith Perch, 3 Sculpin, 3 Calico Bass",2020-01-14
1,"Dolphin  Fisherman's Landing  San Diego, CA",9 Anglers1/2 Day PM,"16 Sand Bass, 74 Blacksmith Perch, 1 Halibut, 3 Sculpin, 3 Calico Bass",2020-01-14
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",12 Anglers3/4 Day,"100 Rockfish, 20 Vermilion Rockfish",2020-01-14
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",28 Anglers1/2 Day AM,"5 Sand Bass, 8 Sculpin, 7 Calico Bass, 21 Calico Bass Released",2020-01-14
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",28 Anglers1/2 Day AM,"34 Sand Bass, 12 Sculpin, 2 Triggerfish, 3 Calico Bass, 30 Sand Bass Released, 20 Calico Bass Released",2020-01-15
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",14 Anglers3/4 Day,"105 Rockfish, 35 Vermilion Rockfish",2020-01-15
0,"Dolphin  Fisherman's Landing  San Diego, CA",15 Anglers1/2 Day PM,"19 Sand Bass, 207 Blacksmith Perch, 11 Sculpin, 1 Calico Bass",2020-01-16
0,"Alicia  H&M Landing  San Diego, CA",9 Anglers1/2 Day Twilight,"13 Lobster, 36 Lobster Released",2020-01-16
1,"Relentless  H&M Landing  San Diego, CA",11 Anglers1.5 Day,"45 Lingcod, 65 Rockfish",2020-01-16
0,"Sea Watch  Seaforth Sportfishing  San Diego, CA",34 Anglers1/2 Day AM,"6 Sand Bass, 12 Sculpin",2020-01-16
0,"Dolphin  Fisherman's Landing  San Diego, CA",24 Anglers1/2 Day AM,"14 Sand Bass, 109 Blacksmith Perch, 3 Sculpin",2020-01-17
1,"Dolphin  Fisherman's Landing  San Diego, CA",13 Anglers1/2 Day PM,"12 Sand Bass, 98 Blacksmith Perch, 6 Sculpin",2020-01-17
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"12 Lobster, 46 Lobster Released",2020-01-17
1,"Jig Strike  H&M Landing  San Diego, CA",8 Anglers1/2 Day Twilight,"15 Lobster, 68 Lobster Released",2020-01-17
0,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",13 Anglers1/2 Day AM,"12 Sculpin, 17 Sand Bass Released, 4 Sheephead Released, 8 Calico Bass Released",2020-01-17
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",27 Anglers1/2 Day AM,"7 Sand Bass, 3 Sculpin, 5 Sand Bass Released, 10 Calico Bass Released",2020-01-17
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",22 Anglers3/4 Day,"200 Rockfish, 20 Vermilion Rockfish",2020-01-17
0,"Dolphin  Fisherman's Landing  San Diego, CA",27 Anglers1/2 Day AM,"11 Sand Bass, 200 Blacksmith Perch, 3 Sculpin",2020-01-18
1,"Dolphin  Fisherman's Landing  San Diego, CA",21 Anglers1/2 Day PM,"15 Sand Bass, 172 Blacksmith Perch, 11 Sculpin, 2 Calico Bass",2020-01-18
0,"Easter B  H&M Landing  San Diego, CA",5 AnglersFull DayMexican Waters,"2 Sculpin, 5 Sheephead, 21 Whitefish, 29 Rockfish",2020-01-18
1,"Premier  H&M Landing  San Diego, CA",45 Anglers1/2 Day AMLocal,"12 Sand Bass, 29 Sculpin, 205 Perch, 3 Calico Bass",2020-01-18
2,"Premier  H&M Landing  San Diego, CA",27 Anglers1/2 Day PM,"17 Sand Bass, 24 Sculpin, 88 Perch, 5 Calico Bass",2020-01-18
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",37 Anglers1/2 Day AM,"185 Sculpin, 1 Cabezon Released",2020-01-18
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",37 Anglers3/4 Day,"4 Sculpin, 310 Rockfish",2020-01-18
0,"Dolphin  Fisherman's Landing  San Diego, CA",57 Anglers1/2 Day AM,"32 Sand Bass, 122 Blacksmith Perch, 1 Halibut, 15 Sculpin, 15 Calico Bass",2020-01-19
1,"Dolphin  Fisherman's Landing  San Diego, CA",52 Anglers1/2 Day PM,"35 Sand Bass, 155 Blacksmith Perch, 1 Halibut, 12 Calico Bass",2020-01-19
2,"Pacific Queen  Fisherman's Landing  San Diego, CA",33 Anglers1.5 Day,"1 Yellowtail, 10 Lingcod, 130 Rockfish, 148 Vermilion Rockfish",2020-01-19
3,"Tomahawk  Fisherman's Landing  San Diego, CA",19 Anglers1.5 Day,"21 Lingcod, 1 Bonito, 74 Rockfish, 95 Vermilion Rockfish",2020-01-19
0,"Premier  H&M Landing  San Diego, CA",30 Anglers1/2 Day AMLocal,"12 Sand Bass, 62 Sculpin, 128 Perch, 3 Calico Bass",2020-01-19
1,"Premier  H&M Landing  San Diego, CA",33 Anglers1/2 Day PM,"13 Sand Bass, 47 Sculpin, 161 Perch",2020-01-19
0,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",11 Anglers3/4 Day,"1 Sand Bass, 10 Sculpin, 13 Sheephead Released, 16 Calico Bass Released",2020-01-19
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",22 Anglers1/2 Day AM,"110 Sculpin, 3 Mackerel Released",2020-01-19
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",19 Anglers1/2 Day AM,"12 Barred Sand Bass, 50 Blacksmith, 16 Sculpin, 2 Calico Bass",2020-01-19
1,"Vagabond  Point Loma Sportfishing  San Diego, CA",24 Anglers2.5 Day,59 Yellowtail,2020-01-19
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",13 Anglers3/4 Day,"100 Rockfish, 30 Vermilion Rockfish",2020-01-19
0,"Dolphin  Fisherman's Landing  San Diego, CA",33 Anglers1/2 Day AM,"18 Sand Bass, 106 Blacksmith Perch, 2 Halibut, 8 Sculpin, 3 Calico Bass",2020-01-20
1,"Dolphin  Fisherman's Landing  San Diego, CA",39 Anglers1/2 Day PM,"14 Sand Bass, 60 Blacksmith Perch, 8 Sculpin, 1 Calico Bass",2020-01-20
0,"Premier  H&M Landing  San Diego, CA",23 Anglers1/2 Day AMLocal,"7 Sand Bass, 19 Sculpin, 173 Perch, 8 Calico Bass",2020-01-20
1,"Premier  H&M Landing  San Diego, CA",13 Anglers1/2 Day PMLocal,"28 Sand Bass, 18 Sculpin, 110 Perch",2020-01-20
0,"Electra  Helgrens Sportfishing  Oceanside, CA",18 Anglers1/2 Day AM,"1 Sand Bass, 4 Blacksmith, 3 Sculpin, 6 Triggerfish, 1 Calico Bass, 1 Sanddab, 5 Sand Bass Released, 2 Sculpin Released, 14 Sheephead Released, 25 Whitefish Released, 5 Sanddab Released",2020-01-20
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",24 Anglers1/2 Day AM,"28 Sand Bass, 45 Sculpin, 2 Calico Bass, 30 Sand Bass Released, 25 Calico Bass Released",2020-01-20
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",11 Anglers1/2 Day AM,"18 Barred Sand Bass, 40 Blacksmith, 7 Sculpin, 3 Calico Bass",2020-01-20
0,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",2 Anglers3/4 Day,"4 Bonito, 15 Rockfish",2020-01-20
1,"New Seaforth  Seaforth Sportfishing  San Diego, CA",30 Anglers3/4 Day,"205 Rockfish, 65 Vermilion Rockfish",2020-01-20
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,"4 Sand Bass, 4 Sculpin, 5 Calico Bass, 36 Calico Bass Released",2020-01-20
0,"Dolphin  Fisherman's Landing  San Diego, CA",8 Anglers1/2 Day PM,"6 Sand Bass, 7 Blacksmith Perch, 1 Halibut, 3 Sculpin",2020-01-21
0,"Jig Strike  H&M Landing  San Diego, CA",6 Anglers1/2 Day TwilightLocal,"10 Lobster, 78 Lobster Released",2020-01-21
0,"Electra  Helgrens Sportfishing  Oceanside, CA",8 Anglers1/2 Day AM,"3 Halibut, 1 Sculpin, 1 Rock Sole, 1 Halibut Released, 1 Copper Rockfish Released",2020-01-21
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",11 Anglers3/4 Day,"65 Rockfish, 45 Vermilion Rockfish",2020-01-21
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",26 Anglers1/2 Day AM,"68 Blacksmith Perch, 7 Sculpin, 9 Calico Bass, 26 Calico Bass Released",2020-01-21
0,"Dolphin  Fisherman's Landing  San Diego, CA",19 Anglers1/2 Day AM,"18 Sand Bass, 7 Halibut, 2 Sculpin",2020-01-22
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",13 Anglers1/2 Day AM,"18 Barred Sand Bass, 3 Blacksmith, 3 Sculpin, 3 Calico Bass",2020-01-22
0,"Dolphin  Fisherman's Landing  San Diego, CA",15 Anglers1/2 Day PM,"16 Sand Bass, 69 Blacksmith Perch, 8 Sculpin, 2 Calico Bass",2020-01-23
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",12 Anglers1/2 Day PM,"13 Sand Bass, 21 Sculpin, 1 Triggerfish, 2 Calico Bass, 18 Sand Bass Released, 8 Calico Bass Released",2020-01-23
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",18 Anglers3/4 Day,85 Rockfish,2020-01-23
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",31 Anglers1/2 Day AM,"3 Sand Bass, 12 Blacksmith Perch, 4 Sculpin, 5 Calico Bass, 21 Calico Bass Released",2020-01-23
0,"Dolphin  Fisherman's Landing  San Diego, CA",12 Anglers1/2 Day AM,"17 Sand Bass, 59 Blacksmith Perch, 1 Halibut, 2 Sculpin, 5 Calico Bass",2020-01-24
1,"Dolphin  Fisherman's Landing  San Diego, CA",11 Anglers1/2 Day PM,"49 Sand Bass, 75 Blacksmith Perch, 6 Calico Bass",2020-01-24
0,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",18 Anglers1/2 Day AM,"1 Halibut, 1 Calico Bass, 25 Calico Bass Released",2020-01-24
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",12 Anglers1/2 Day AM,"55 Sand Bass, 25 Sculpin, 5 Calico Bass, 8 Sand Bass Released, 3 Sheephead Released, 12 Calico Bass Released",2020-01-24
0,"Josie Lynn  Point Loma Sportfishing  San Diego, CA",6 Anglers1/2 Day Twilight,"5 Lobster, 15 Whitefish, 30 Rockfish, 15 Red Rockfish, 30 Lobster Released",2020-01-24
0,"Sea Watch  Seaforth Sportfishing  San Diego, CA",19 Anglers1/2 Day AM,"7 Blacksmith Perch, 3 Sculpin, 1 Calico Bass, 16 Calico Bass Released",2020-01-24
0,"Dolphin  Fisherman's Landing  San Diego, CA",36 Anglers1/2 Day AM,"22 Sand Bass, 91 Blacksmith Perch, 5 Sculpin",2020-01-25
1,"Dolphin  Fisherman's Landing  San Diego, CA",35 Anglers1/2 Day PM,"25 Sand Bass, 73 Blacksmith Perch, 18 Sculpin, 2 Calico Bass",2020-01-25
0,"Easter B  H&M Landing  San Diego, CA",6 AnglersFull Day,"3 Sheephead, 27 Whitefish, 30 Rockfish",2020-01-25
1,"Premier  H&M Landing  San Diego, CA",22 Anglers1/2 Day AM,"11 Sand Bass, 13 Sculpin, 74 Perch, 16 Calico Bass",2020-01-25
